"seqnames","start","end","width","strand","V4","V5","V6","V7","V8","V9","V10","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","ENSEMBL","SYMBOL","GENENAME"
"chr11",66408307,66408919,613,"*",".",1000,".",454.78295,-1,5.02121,314,"Promoter (<=1kb)",11,66408623,66417046,8424,1,"266743","ENST00000772409.1",0,"ENSG00000174576","NPAS4","neuronal PAS domain protein 4"
"chr6",154675472,154676057,586,"*",".",1000,".",452.96031,-1,5.02121,286,"Distal Intergenic",6,154733378,154792946,59569,1,"22828","ENST00000461219.5",-57321,"ENSG00000213079","SCAF8","SR-related CTD associated factor 8"
"chr16",55464966,55465568,603,"*",".",1000,".",452.53911,-1,5.02121,288,"Promoter (2-3kb)",16,55427558,55462297,34740,2,"107984884","ENST00000569037.5",-2669,NA,"MMP2-AS1","MMP2 antisense RNA 1"
"chr7",25565812,25566375,564,"*",".",1000,".",452.27859,-1,5.02121,268,"Distal Intergenic",7,25593338,25620564,27227,2,"646588","ENST00000659793.2",54189,"ENSG00000223561","LINC03007","long intergenic non-protein coding RNA 3007"
"chr11",64152980,64153552,573,"*",".",1000,".",449.48037,-1,5.02121,287,"Intron (ENST00000255681.7/28992, intron 1 of 10)",11,64165176,64170730,5555,1,"105369339","ENST00000753003.1",-11624,NA,"LOC105369339","uncharacterized LOC105369339"
"chr7",992950,993591,642,"*",".",1000,".",448.47738,-1,5.02121,326,"Distal Intergenic",7,977964,988442,10479,2,"84310","ENST00000848853.1",-4508,"ENSG00000146540","CHLSN","cholesin"
"chr18",47749026,47749664,639,"*",".",1000,".",446.54651,-1,5.02121,328,"Distal Intergenic",18,47668203,47694984,26782,1,"105372100","ENST00000829670.1",80823,NA,"LOC105372100","uncharacterized LOC105372100"
"chr20",49333676,49334345,670,"*",".",1000,".",446.06065,-1,5.02121,420,"Intron (ENST00000636663.1/105372649, intron 3 of 4)",20,49318535,49371908,53374,1,"105372649","ENST00000637091.1",15141,NA,"LOC105372649","uncharacterized LOC105372649"
"chr16",85420491,85421220,730,"*",".",1000,".",445.6877,-1,5.02121,396,"Intron (ENST00000637419.1/23199, intron 2 of 2)",16,85357463,85359449,1987,1,"23199","ENST00000568080.1",63028,"ENSG00000131149","GSE1","Gse1 coiled-coil protein"
"chrX",65595254,65595856,603,"*",".",1000,".",443.49362,-1,5.02121,333,"Exon (ENST00000777606.1/ENST00000777606.1, exon 1 of 2)",23,65588404,65593425,5022,1,"4478","ENST00000447323.1",6850,"ENSG00000147065","MSN","moesin"
"chr11",130861834,130862489,656,"*",".",1000,".",442.57582,-1,5.02121,311,"Promoter (<=1kb)",11,130807889,130862092,54204,2,"100507431","ENST00000741042.1",0,NA,"LINC02551","long intergenic non-protein coding RNA 2551"
"chr15",51162642,51163334,693,"*",".",1000,".",442.39001,-1,5.02121,383,"Intron (ENST00000805692.1/112268146, intron 2 of 3)",15,51212259,51215224,2966,2,"1588","ENST00000559653.1",51890,"ENSG00000137869","CYP19A1","cytochrome P450 family 19 subfamily A member 1"
"chrX",10119389,10120099,711,"*",".",1000,".",442.15214,-1,5.02121,333,"Intron (ENST00000380861.10/55841, intron 12 of 23)",23,10156975,10237660,80686,1,"1183","ENST00000380833.9",-36876,"ENSG00000073464","CLCN4","chloride voltage-gated channel 4"
"chr16",75464622,75465216,595,"*",".",1000,".",440.72012,-1,5.02121,270,"Promoter (<=1kb)",16,75412684,75464706,52023,2,"124491","ENST00000567194.5",0,"ENSG00000166822","TMEM170A","transmembrane protein 170A"
"chr14",105045583,105046200,618,"*",".",1000,".",440.09434,-1,5.02121,334,"Intron (ENST00000823356.1/124903398, intron 1 of 1)",14,105049400,105055791,6392,2,"29933","ENST00000551869.1",9591,"ENSG00000183484","GPR132","G protein-coupled receptor 132"
"chr10",130189958,130190604,647,"*",".",1000,".",439.60727,-1,5.02121,314,"Distal Intergenic",10,130180185,130183643,3459,1,"124902561","ENST00000619341.1",9773,NA,"LOC124902561","uncharacterized LOC124902561"
"chr6",166275571,166276110,540,"*",".",1000,".",439.57002,-1,5.02121,293,"Promoter (1-2kb)",6,166275462,166277128,1667,2,"105378118","ENST00000629925.2",1018,NA,"LOC105378118","uncharacterized LOC105378118"
"chr1",9626878,9627440,563,"*",".",1000,".",439.29351,-1,5.02121,260,"Promoter (1-2kb)",1,9628393,9629425,1033,2,"105376712","ENST00000822679.1",1985,"ENSG00000307011","LOC105376712","uncharacterized LOC105376712"
"chr2",233053833,233054547,715,"*",".",1000,".",438.75954,-1,5.02121,316,"Exon (ENST00000796621.1/ENST00000796621.1, exon 2 of 2)",2,233059967,233207903,147937,1,"3635","ENST00000359570.9",-5420,"ENSG00000168918","INPP5D","inositol polyphosphate-5-phosphatase D"
"chr17",57243025,57243583,559,"*",".",1000,".",438.51368,-1,5.02121,277,"Distal Intergenic",17,57255851,57680121,424271,1,"124540","ENST00000416426.6",-12268,"ENSG00000153944","MSI2","musashi RNA binding protein 2"
"chr10",104291276,104291887,612,"*",".",1000,".",438.49907,-1,5.02121,283,"Exon (ENST00000477078.2/119391, exon 6 of 7)",10,104295275,104299411,4137,1,"119391","ENST00000498052.1",-3388,"ENSG00000065621","GSTO2","glutathione S-transferase omega 2"
"chr5",43105348,43106167,820,"*",".",1000,".",437.83047,-1,5.02121,512,"Intron (ENST00000507393.1/100506639, intron 1 of 3)",5,43120883,43161773,40891,1,"7690","ENST00000515326.5",-14716,"ENSG00000172262","ZNF131","zinc finger protein 131"
"chr7",76314137,76314756,620,"*",".",1000,".",437.33186,-1,5.02121,301,"Distal Intergenic",7,76303577,76304295,719,1,"3315","ENST00000429938.1",10560,"ENSG00000106211","HSPB1","heat shock protein family B (small) member 1"
"chr4",25312350,25312990,641,"*",".",1000,".",436.99703,-1,5.02121,330,"Promoter (<=1kb)",4,25312774,25370383,57610,1,"29063","ENST00000302874.9",0,"ENSG00000168228","ZCCHC4","zinc finger CCHC-type containing 4"
"chr6",53171784,53172331,548,"*",".",1000,".",436.02144,-1,5.02121,271,"Distal Intergenic",6,53126961,53148841,21881,2,"8521","ENST00000259803.8",-22943,"ENSG00000137270","GCM1","glial cells missing transcription factor 1"
"chr15",51192541,51193158,618,"*",".",1000,".",435.88074,-1,5.02121,339,"Intron (ENST00000805692.1/112268146, intron 2 of 3)",15,51212259,51215224,2966,2,"1588","ENST00000559653.1",22066,"ENSG00000137869","CYP19A1","cytochrome P450 family 19 subfamily A member 1"
"chr1",204806860,204807718,859,"*",".",1000,".",435.7246,-1,5.02121,487,"Distal Intergenic",1,204828651,205010924,182274,1,"23114","ENST00000404977.6",-20933,"ENSG00000163531","NFASC","neurofascin"
"chr16",67816364,67816985,622,"*",".",1000,".",435.56196,-1,5.02121,344,"Intron (ENST00000415766.7/55815, intron 2 of 13)",16,67807295,67825293,17999,1,"55815","ENST00000562321.1",9069,"ENSG00000102904","TSNAXIP1","translin associated factor X interacting protein 1"
"chr2",28566615,28567201,587,"*",".",1000,".",433.99712,-1,5.02121,306,"Promoter (<=1kb)",2,28566443,28578147,11705,1,"151056","ENST00000485642.1",172,"ENSG00000163803","PLB1","phospholipase B1"
"chr13",99436799,99437386,588,"*",".",1000,".",433.58426,-1,5.02121,265,"Distal Intergenic",13,99494364,99496306,1943,2,"102725509","ENST00000745991.1",58920,NA,"LINC01232","long intergenic non-protein coding RNA 1232"
"chr1",17419712,17420373,662,"*",".",1000,".",433.4895,-1,5.02121,294,"Exon (ENST00000835437.1/ENST00000835437.1, exon 1 of 2)",1,17406760,17407382,623,1,"114515514","ENST00000439577.1",12952,"ENSG00000227751","RCC2-AS1","RCC2 antisense RNA 1"
"chr14",23120659,23121268,610,"*",".",1000,".",433.20581,-1,5.02121,291,"Promoter (<=1kb)",14,23117036,23120256,3221,2,"1053","ENST00000696121.1",-403,"ENSG00000092067","CEBPE","CCAAT enhancer binding protein epsilon"
"chr15",77633298,77633935,638,"*",".",1000,".",429.60022,-1,5.02121,336,"Promoter (<=1kb)",15,77613027,77632912,19886,2,"84894","ENST00000355300.7",-386,"ENSG00000169783","LINGO1","leucine rich repeat and Ig domain containing 1"
"chr7",43838744,43839339,596,"*",".",1000,".",428.89515,-1,5.02121,317,"Distal Intergenic",7,43866778,43869149,2372,2,"64951","ENST00000483330.1",29810,"ENSG00000062582","MRPS24","mitochondrial ribosomal protein S24"
"chr14",90399423,90399990,568,"*",".",1000,".",428.19558,-1,5.02121,290,"Promoter (<=1kb)",14,90399978,90404153,4176,1,"801","ENST00000555267.1",0,"ENSG00000198668","CALM1","calmodulin 1"
"chr19",40634347,40634922,576,"*",".",1000,".",427.69845,-1,5.02121,330,"Distal Intergenic",19,40627259,40629811,2553,1,"8425","ENST00000598166.2",7088,"ENSG00000090006","LTBP4","latent transforming growth factor beta binding protein 4"
"chr22",20564179,20564773,595,"*",".",1000,".",427.49503,-1,5.02121,295,"Promoter (1-2kb)",22,20566465,20583227,16763,1,"51586","ENST00000478831.5",-1692,"ENSG00000099917","MED15","mediator complex subunit 15"
"chr2",117814215,117814796,582,"*",".",1000,".",425.49088,-1,5.02121,316,"Promoter (<=1kb)",2,117814691,117832377,17687,1,"8886","ENST00000263239.7",0,"ENSG00000088205","DDX18","DEAD-box helicase 18"
"chr11",61898989,61899575,587,"*",".",1000,".",425.28562,-1,5.02121,304,"Promoter (<=1kb)",11,61897840,61899338,1499,2,"5866","ENST00000526200.1",0,"ENSG00000167994","RAB3IL1","RAB3A interacting protein like 1"
"chr17",80575268,80575804,537,"*",".",1000,".",424.88926,-1,5.02121,231,"Intron (ENST00000574767.5/57521, intron 1 of 11)",17,80585896,80586961,1066,2,"105371922","ENST00000846532.1",11157,NA,"LOC105371922","uncharacterized LOC105371922"
"chr2",177164480,177165020,541,"*",".",1000,".",424.73636,-1,5.02121,268,"Promoter (<=1kb)",2,176990842,177164516,173675,2,"105373760","ENST00000441205.1",0,NA,"LOC105373760","uncharacterized LOC105373760"
"chrX",154534735,154535329,595,"*",".",1000,".",424.63516,-1,5.02121,271,"Promoter (<=1kb)",23,154533317,154534193,877,2,"2539","ENST00000489497.1",-542,"ENSG00000160211","G6PD","glucose-6-phosphate dehydrogenase"
"chr5",176447995,176448502,508,"*",".",1000,".",423.52984,-1,5.02121,252,"Promoter (<=1kb)",5,176448429,176453559,5131,1,"124901142","ENST00000506061.1",0,NA,"LOC124901142","uncharacterized LOC124901142"
"chr5",175533895,175534537,643,"*",".",1000,".",423.48898,-1,5.02121,324,"Distal Intergenic",5,175521886,175526883,4998,1,"94081","ENST00000421887.2",12009,"ENSG00000164466","SFXN1","sideroflexin 1"
"chr2",46986851,46987470,620,"*",".",1000,".",421.66767,-1,5.02121,333,"Intron (ENST00000698500.1/57217, intron 8 of 21)",2,46994231,47075324,81094,1,"57217","ENST00000484061.5",-6761,"ENSG00000068724","TTC7A","tetratricopeptide repeat domain 7A"
"chr19",55467679,55468237,559,"*",".",1000,".",421.25574,-1,5.02121,274,"Promoter (2-3kb)",19,55463001,55464751,1751,2,"111064650","ENST00000635964.2",-2928,"ENSG00000283567","C19orf85","chromosome 19 open reading frame 85"
"chr17",45135211,45135702,492,"*",".",1000,".",419.36648,-1,5.02121,229,"Promoter (<=1kb)",17,45135647,45143850,8204,1,"79777","ENST00000586346.5",0,"ENSG00000181513","ACBD4","acyl-CoA binding domain containing 4"
"chr17",34361386,34361973,588,"*",".",1000,".",419.31894,-1,5.02121,304,"Promoter (1-2kb)",17,34360328,34363233,2906,2,"6346","ENST00000225842.4",1260,"ENSG00000108702","CCL1","C-C motif chemokine ligand 1"
"chr9",128117496,128118121,626,"*",".",1000,".",419.13897,-1,5.02121,293,"Promoter (<=1kb)",9,128108581,128118693,10113,2,"100289019","ENST00000418747.2",572,NA,"SLC25A25-AS1","SLC25A25 antisense RNA 1"
"chr2",85420546,85421074,529,"*",".",1000,".",418.9582,-1,5.02121,272,"Promoter (<=1kb)",2,85420837,85426724,5888,1,"284948","ENST00000651365.1",0,"ENSG00000152292","SH2D6","SH2 domain containing 6"
"chr6",25992418,25993012,595,"*",".",1000,".",418.47194,-1,5.02121,275,"Promoter (<=1kb)",6,25992641,26000518,7878,1,"123706533","ENST00000658335.1",0,"ENSG00000272462","LINC02980","long intergenic non-protein coding RNA 2980"
"chr1",5514319,5515015,697,"*",".",1000,".",418.21946,-1,5.02121,398,"Distal Intergenic",1,5489795,5493057,3263,2,"105376686","ENST00000641860.1",-21262,NA,"LOC105376686","uncharacterized LOC105376686"
"chr9",68584329,68584889,561,"*",".",1000,".",417.84148,-1,5.02121,278,"Promoter (<=1kb)",9,68543544,68584198,40655,2,"101927015","ENST00000762444.1",-131,"ENSG00000234506","LINC01506","long intergenic non-protein coding RNA 1506"
"chr14",55270987,55271537,551,"*",".",1000,".",416.9349,-1,5.02121,293,"Promoter (<=1kb)",14,55262222,55271310,9089,2,"105370509","ENST00000660805.1",0,"ENSG00000258413","FBXO34-AS1","FBXO34 antisense RNA 1"
"chr12",575999,576551,553,"*",".",1000,".",415.78925,-1,5.02121,271,"Intron (ENST00000305108.10/4815, intron 1 of 3)",12,585689,586479,791,2,"105369595","ENST00000780543.1",9928,"ENSG00000256020","LOC105369595","uncharacterized LOC105369595"
"chr9",137236330,137236979,650,"*",".",1000,".",415.35934,-1,5.02121,326,"3' UTR",9,137241287,137243707,2421,1,"10383","ENST00000340384.5",-4308,"ENSG00000188229","TUBB4B","tubulin beta 4B class IVb"
"chr14",94486173,94486831,659,"*",".",1000,".",414.40404,-1,5.02121,287,"Distal Intergenic",14,94469753,94479689,9937,2,"327657","ENST00000539349.1",-6484,"ENSG00000170054","SERPINA9","serpin family A member 9"
"chr13",52450371,52451095,725,"*",".",1000,".",413.13215,-1,5.02121,363,"Promoter (<=1kb)",13,52412602,52450622,38021,2,"51028","ENST00000650274.1",0,"ENSG00000136100","VPS36","vacuolar protein sorting 36 homolog"
"chr17",17812054,17812669,616,"*",".",1000,".",412.39592,-1,5.02121,345,"Promoter (<=1kb)",17,17811356,17813442,2087,2,"6720","ENST00000578469.1",773,"ENSG00000072310","SREBF1","sterol regulatory element binding transcription factor 1"
"chr18",45879871,45880466,596,"*",".",1000,".",412.38002,-1,5.02121,277,"3' UTR",18,45847621,45890614,42994,2,"57724","ENST00000587973.2",10148,"ENSG00000152223","EPG5","ectopic P-granules 5 autophagy tethering factor"
"chr17",50200392,50201120,729,"*",".",1000,".",411.92444,-1,5.02121,361,"Promoter (<=1kb)",17,50201092,50215809,14718,1,"101927230","ENST00000832079.1",0,NA,"TILAM","TGF-beta induced lncRNA activating myofibroblasts"
"chr10",75235825,75236377,553,"*",".",1000,".",411.12058,-1,5.02121,286,"Promoter (<=1kb)",10,75233641,75235957,2317,2,"118881","ENST00000372538.8",0,"ENSG00000165644","COMTD1","catechol-O-methyltransferase domain containing 1"
"chr15",40279200,40279881,682,"*",".",1000,".",411.00995,-1,5.02121,348,"3' UTR",15,40278372,40283064,4693,2,"100131244","ENST00000434396.2",3183,"ENSG00000230778","ANKRD63","ankyrin repeat domain 63"
"chr2",222690467,222691027,561,"*",".",1000,".",410.99841,-1,5.02121,286,"Intron (ENST00000446656.4/116255, intron 3 of 5)",2,222671658,222709930,38273,1,"116255","ENST00000446656.4",18809,"ENSG00000124003","MOGAT1","monoacylglycerol O-acyltransferase 1"
"chr3",13650315,13650973,659,"*",".",1000,".",410.83648,-1,5.02121,321,"Promoter (<=1kb)",3,13650632,13746655,96024,1,"285375","ENST00000438915.2",0,"ENSG00000224514","LINC00620","long intergenic non-protein coding RNA 620"
"chr17",78250624,78251528,905,"*",".",1000,".",410.32152,-1,5.02121,452,"Promoter (2-3kb)",17,78248193,78251780,3588,1,"105371910","ENST00000638890.2",2431,NA,"LOC105371910","uncharacterized LOC105371910"
"chr19",8580539,8581171,633,"*",".",1000,".",409.72327,-1,5.02121,364,"3' UTR",19,8520778,8577442,56665,2,"4542","ENST00000644032.2",-3097,"ENSG00000142347","MYO1F","myosin IF"
"chr3",139329273,139329843,571,"*",".",1000,".",409.52995,-1,5.02121,270,"Intron (ENST00000495075.5/56945, intron 2 of 9)",3,139316157,139340870,24714,2,"124909439","ENST00000656212.1",11027,"ENSG00000286988","LOC124909439","uncharacterized LOC124909439"
"chr19",45769987,45770578,592,"*",".",1000,".",409.16,-1,5.02121,318,"Promoter (<=1kb)",19,45770982,45772504,1523,1,"109729182","ENST00000586251.5",-404,NA,"DM1-AS","DM1 locus antisense RNA"
"chr15",82540326,82540827,502,"*",".",1000,".",409.09486,-1,5.02121,238,"Promoter (<=1kb)",15,82536750,82540457,3708,2,"6218","ENST00000647841.1",0,"ENSG00000182774","RPS17","ribosomal protein S17"
"chr2",84925599,84926254,656,"*",".",1000,".",407.86234,-1,5.02121,328,"Exon (ENST00000746753.1/ENST00000746753.1, exon 1 of 3)",2,84901643,84907008,5366,2,"105374836","ENST00000489999.1",-18591,"ENSG00000186854","LOC105374836","uncharacterized LOC105374836"
"chr2",47767788,47768428,641,"*",".",1000,".",407.82597,-1,5.02121,304,"Intron (ENST00000652107.1/2956, intron 3 of 11)",2,47783082,47806953,23872,1,"2956","ENST00000445503.5",-14654,"ENSG00000116062","MSH6","mutS homolog 6"
"chr17",39621629,39622383,755,"*",".",1000,".",407.59855,-1,5.02121,465,"Promoter (1-2kb)",17,39619670,39622770,3101,1,"124903997","ENST00000662516.1",1959,NA,"LOC124903997","uncharacterized LOC124903997"
"chr5",141524577,141525273,697,"*",".",1000,".",407.51845,-1,5.02121,342,"Promoter (<=1kb)",5,141515016,141524755,9740,2,"1729","ENST00000476339.1",0,"ENSG00000131504","DIAPH1","diaphanous related formin 1"
"chr12",57905264,57905811,548,"*",".",1000,".",407.29838,-1,5.02121,269,"Promoter (<=1kb)",12,57906039,57959148,53110,1,"91419","ENST00000647763.1",-228,"ENSG00000166896","ATP23","ATP23 metallopeptidase and ATP synthase assembly factor homolog"
"chr6",159042482,159043037,556,"*",".",1000,".",406.98229,-1,5.02121,266,"Promoter (<=1kb)",6,159042106,159043181,1076,1,"105378083","ENST00000819091.1",376,"ENSG00000271913","TAGAP-AS1","TAGAP antisense RNA 1"
"chr6",85482987,85483596,610,"*",".",1000,".",406.5364,-1,5.02121,290,"Promoter (1-2kb)",6,85485397,85491325,5929,1,"4907","ENST00000437581.1",-1801,"ENSG00000135318","NT5E","5'-nucleotidase ecto"
"chr2",219294616,219295360,745,"*",".",1000,".",406.07246,-1,5.02121,380,"Promoter (<=1kb)",2,219294111,219294200,90,2,"406944","ENST00000384914.1",-416,"ENSG00000207647","MIR153-1","microRNA 153-1"
"chr11",65884532,65885157,626,"*",".",1000,".",405.90374,-1,5.02121,307,"Promoter (<=1kb)",11,65883741,65885572,1832,2,"9158","ENST00000534032.5",415,"ENSG00000172500","FIBP","FGF1 intracellular binding protein"
"chr11",61129638,61130271,634,"*",".",1000,".",405.86554,-1,5.02121,321,"3' UTR",11,61102509,61119359,16851,1,"921","ENST00000544014.1",27129,"ENSG00000110448","CD5","CD5 molecule"
"chr17",43677822,43678459,638,"*",".",1000,".",405.56939,-1,5.02121,278,"Promoter (<=1kb)",17,43679341,43706709,27369,1,"105371786","ENST00000593169.2",-882,"ENSG00000267440","LINC02594","long intergenic non-protein coding RNA 2594"
"chr10",100433676,100434261,586,"*",".",1000,".",405.46798,-1,5.02121,287,"Intron (ENST00000641571.1/90271, intron 3 of 5)",10,100463009,100483744,20736,1,"7479","ENST00000343737.6",-28748,"ENSG00000075290","WNT8B","Wnt family member 8B"
"chr16",50024741,50025301,561,"*",".",1000,".",404.79323,-1,5.02121,274,"Promoter (<=1kb)",16,50025225,50037081,11857,1,"255919","ENST00000427478.7",0,"ENSG00000205423","CNEP1R1","CTD nuclear envelope phosphatase 1 regulatory subunit 1"
"chr20",50071195,50071740,546,"*",".",1000,".",404.52695,-1,5.02121,271,"Intron (ENST00000816220.1/ENST00000816220.1, intron 2 of 2)",20,50052231,50057432,5202,2,"105372655","ENST00000816304.1",-13763,NA,"LOC105372655","uncharacterized LOC105372655"
"chr10",44974842,44975402,561,"*",".",1000,".",404.44312,-1,5.02121,287,"Intron (ENST00000489171.5/83937, intron 2 of 9)",10,44971794,44993430,21637,1,"83937","ENST00000472561.5",3048,"ENSG00000107551","RASSF4","Ras association domain family member 4"
"chr11",78046084,78046723,640,"*",".",1000,".",404.05475,-1,5.02121,306,"Promoter (<=1kb)",11,78016593,78046191,29599,2,"65987","ENST00000533144.1",0,"ENSG00000151364","KCTD14","potassium channel tetramerization domain containing 14"
"chr19",38930165,38930779,615,"*",".",1000,".",403.22929,-1,5.02121,317,"Promoter (<=1kb)",19,38915266,38930763,15498,2,"54938","ENST00000221431.11",0,"ENSG00000104835","SARS2","seryl-tRNA synthetase 2, mitochondrial"
"chr12",48814398,48815217,820,"*",".",1000,".",402.59327,-1,5.02121,386,"Promoter (<=1kb)",12,48813762,48814722,961,2,"101927241","ENST00000755103.1",0,"ENSG00000298361","LOC101927241","uncharacterized LOC101927241"
